state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 2, a, 3004, 0.5905459
goal.food, l2, 2, a, 3004, 0.7660764
goal.food, l2.binary, 2, a, 3004, 0.7917922
goal.food, avgp, 2, a, 3004, 0.5773242
goal.food, neglogp, 2, a, 3004, 3.3356732
goal.food, mrr, 2, a, 3004, 0.6293276
goal.food, update.acc, 2, a, 3004, 0.2548047
goal.food, update.prec, 2, a, 3004, 0.8763326
goal.food, roc.v1_eer, 2, a, 3004, 0.4424101
goal.food, roc.v1_ca05, 2, a, 3004, 0.0003329
goal.food, roc.v1_ca10, 2, a, 3004, 0.0003329
goal.food, roc.v1_ca20, 2, a, 3004, 0.3458722
goal.food, roc.v2_ca05, 2, a, 3004, 0.0005637
goal.food, roc.v2_ca10, 2, a, 3004, 0.0005637
goal.food, roc.v2_ca20, 2, a, 3004, 0.0005637
goal.pricerange, acc, 2, a, 2507, 0.8927004
goal.pricerange, l2, 2, a, 2507, 0.1772502
goal.pricerange, l2.binary, 2, a, 2507, 0.1823359
goal.pricerange, avgp, 2, a, 2507, 0.8801435
goal.pricerange, neglogp, 2, a, 2507, 0.5760703
goal.pricerange, mrr, 2, a, 2507, 0.9248105
goal.pricerange, update.acc, 2, a, 2507, 0.5524957
goal.pricerange, update.prec, 2, a, 2507, 0.9639640
goal.pricerange, roc.v1_eer, 2, a, 2507, 0.1192661
goal.pricerange, roc.v1_ca05, 2, a, 2507, 0.7594735
goal.pricerange, roc.v1_ca10, 2, a, 2507, 0.8923016
goal.pricerange, roc.v1_ca20, 2, a, 2507, 0.8927004
goal.pricerange, roc.v2_ca05, 2, a, 2507, 0.0004468
goal.pricerange, roc.v2_ca10, 2, a, 2507, 0.5294906
goal.pricerange, roc.v2_ca20, 2, a, 2507, 0.7448615
goal.name, acc, 2, a, 214, 0.8224299
goal.name, l2, 2, a, 214, 0.3442013
goal.name, l2.binary, 2, a, 214, 0.3456591
goal.name, avgp, 2, a, 214, 0.8035750
goal.name, neglogp, 2, a, 214, 1.1817500
goal.name, mrr, 2, a, 214, 0.8901869
goal.name, update.acc, 2, a, 214, 0.0000000
goal.name, update.prec, 2, a, 214, 0.0000000
goal.name, roc.v1_eer, 2, a, 214, 0.3037383
goal.name, roc.v1_ca05, 2, a, 214, 0.0000000
goal.name, roc.v1_ca10, 2, a, 214, 0.6121495
goal.name, roc.v1_ca20, 2, a, 214, 0.8224299
goal.name, roc.v2_ca05, 2, a, 214, 0.0000000
goal.name, roc.v2_ca10, 2, a, 214, 0.0000000
goal.name, roc.v2_ca20, 2, a, 214, 0.0000000
goal.area, acc, 2, a, 3339, 0.8763103
goal.area, l2, 2, a, 3339, 0.2080019
goal.area, l2.binary, 2, a, 3339, 0.2252420
goal.area, avgp, 2, a, 3339, 0.8471362
goal.area, neglogp, 2, a, 3339, 0.8327093
goal.area, mrr, 2, a, 3339, 0.9029650
goal.area, update.acc, 2, a, 3339, 0.4780876
goal.area, update.prec, 2, a, 3339, 0.9278351
goal.area, roc.v1_eer, 2, a, 3339, 0.1350704
goal.area, roc.v1_ca05, 2, a, 3339, 0.7894579
goal.area, roc.v1_ca10, 2, a, 3339, 0.8643306
goal.area, roc.v1_ca20, 2, a, 3339, 0.8763103
goal.area, roc.v2_ca05, 2, a, 3339, 0.0000000
goal.area, roc.v2_ca10, 2, a, 3339, 0.0000000
goal.area, roc.v2_ca20, 2, a, 3339, 0.6660971
goal.all, acc, 2, a, 9064, 0.7848632
goal.all, l2, 2, a, 9064, 0.3876696
goal.all, l2.binary, 2, a, 9064, 0.4039843
goal.all, avgp, 2, a, 9064, 0.7658158
goal.all, neglogp, 2, a, 9064, 1.5995014
goal.all, mrr, 2, a, 9064, 0.8180163
goal.all, update.acc, 2, a, 9064, 0.7785570
goal.all, update.prec, 2, a, 9064, 0.7978076
goal.all, roc.v1_eer, 2, a, 9064, 0.2568402
goal.all, roc.v1_ca05, 2, a, 9064, 0.0001103
goal.all, roc.v1_ca10, 2, a, 9064, 0.5714916
goal.all, roc.v1_ca20, 2, a, 9064, 0.7760371
goal.all, roc.v2_ca05, 2, a, 9064, 0.0001406
goal.all, roc.v2_ca10, 2, a, 9064, 0.0001406
goal.all, roc.v2_ca20, 2, a, 9064, 0.0001406
goal.joint, acc, 2, a, 3836, 0.5010428
goal.joint, l2, 2, a, 3836, 0.9608538
goal.joint, l2.binary, 2, a, 3836, 1.0010685
goal.joint, avgp, 2, a, 3836, 0.4845411
goal.joint, neglogp, 2, a, 3836, 4.5898934
goal.joint, mrr, 2, a, 3836, 0.5032586
goal.joint, update.acc, 2, a, 3836, 0.2827744
goal.joint, update.prec, 2, a, 3836, 0.7231969
goal.joint, roc.v1_eer, 2, a, 3836, 0.4562044
goal.joint, roc.v1_ca05, 2, a, 3836, 0.0000000
